spp,common,FilterRegion,FilterSubRegion,Taxonomic.Grouping,Management.Body,Management.Plan
Pseudopleuronectes americanus,Winter flounder,US East Coast,Northeast,Pleuronectiformes (Flatfishes) ,ASMFC,Northeast Multispecies
Pseudopleuronectes americanus,Winter flounder,US East Coast,Northeast,Pleuronectiformes (Flatfishes) ,NEFMC,Northeast Multispecies
Pseudostichopus mollis,Sandy sea cucumber,US West Coast,West Coast,Holothuroidea (sea cucumbers),,
Pteraster militaris,Wrinkled sea star,Alaska,Aleutian Islands,Asteroidea (starfishes) ,,
Pteraster obscurus,Obscure cushion star,Alaska,Eastern Bering Sea,Asteroidea (starfishes) ,,
Pycnopodia helianthoides,Sunflower sea star,Alaska,Gulf of Alaska,Asteroidea (starfishes) ,,
Raninoides louisianensis,Gulf frog crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Rathbunaster californicus,California sun star,US West Coast,West Coast,Asteroidea (starfishes) ,,
Reinhardtius hippoglossoides,Greenland halibut,Alaska,Eastern Bering Sea,Pleuronectiformes (Flatfishes) ,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Renilla muelleri,Mueller's sea pansy,Gulf of Mexico,Gulf of Mexico,"Cnidaria (jellyfish, corals, anenomes) ",,
Rhinoptera bonasus,Cownose ray,US East Coast,Southeast,"Elasmobranchi:Batoidea (skates, rays) ",,
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Gulf of Mexico,Gulf of Mexico,Elasmobranchi:Selachi (sharks),,
Rhizoprionodon terraenovae,Atlantic sharpnose shark,US East Coast,Southeast,Elasmobranchi:Selachi (sharks),Atlantic HMS,Consolidated Atlantic Highly Migratory Species
Rhizoprionodon terraenovae,Atlantic sharpnose shark,US East Coast,Northeast,Elasmobranchi:Selachi (sharks),Atlantic HMS,Consolidated Atlantic Highly Migratory Species
Rhomboplites aurorubens,Vermilion snapper,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",GMFMC,Reef Fish Resources of the Gulf of Mexico
Rossia pacifica,Eastern pacific bobtail,Alaska,Aleutian Islands,"Cephalopoda (squid, octopus)",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Rossia pacifica,Eastern pacific bobtail,US West Coast,West Coast,"Cephalopoda (squid, octopus)",,
Rostroraja eglanteria,Clearnose skate,Gulf of Mexico,Gulf of Mexico,"Elasmobranchi:Batoidea (skates, rays) ",,
Rostroraja eglanteria,Clearnose skate,US East Coast,Southeast,"Elasmobranchi:Batoidea (skates, rays) ",,
Rostroraja eglanteria,Clearnose skate,US East Coast,Northeast,"Elasmobranchi:Batoidea (skates, rays) ",NEFMC,Northeast Skate Complex
Rostroraja texana,Roundel skate,Gulf of Mexico,Gulf of Mexico,"Elasmobranchi:Batoidea (skates, rays) ",,
Sagenaster evermanni,Evermann's star,US West Coast,West Coast,Asteroidea (starfishes) ,,
Sardinella aurita,Spanish sardine,Gulf of Mexico,Gulf of Mexico,"Clupeiformes (Herrings, anchovy, shad)",,
Sarritor frenatus,Sawback poacher,Alaska,Aleutian Islands,Perciformes/Cottoidei (sculpins),,
Sarritor frenatus,Sawback poacher,Alaska,Eastern Bering Sea,Perciformes/Cottoidei (sculpins),,
Saurida brasiliensis,Largescale lizardfish,Gulf of Mexico,Gulf of Mexico,"Aulopiformes (Grinners, lizardfish)",,
Saurida normani,Shortjaw lizardfish,Gulf of Mexico,Gulf of Mexico,"Aulopiformes (Grinners, lizardfish)",,
Sclerocrangon boreas,Sculptured shrimp,Alaska,Northern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
Scomber scombrus,Atlantic mackerel,US East Coast,Northeast,Scombriformes (Mackerels),MAFMC,"Mackerel, Squid and Butterfish"
Scomberomorus cavalla,King mackerel,US East Coast,Southeast,Scombriformes (Mackerels),GMFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scomberomorus cavalla,King mackerel,US East Coast,Southeast,Scombriformes (Mackerels),SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scomberomorus maculatus,Spanish mackerel,US East Coast,Southeast,Scombriformes (Mackerels),ASMFC,Interstate Fishery Management Plan 
Scomberomorus maculatus,Spanish mackerel,US East Coast,Southeast,Scombriformes (Mackerels),GMFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scomberomorus maculatus,Spanish mackerel,US East Coast,Southeast,Scombriformes (Mackerels),SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scophthalmus aquosus,Windowpane flounder,US East Coast,Northeast,Pleuronectiformes (Flatfishes) ,NEFMC,Northeast Multispecies
Scophthalmus aquosus,Windowpane flounder,US East Coast,Southeast,Pleuronectiformes (Flatfishes) ,,
Scorpaena agassizii,Longfin scorpionfish,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Scorpaena brasiliensis,Barbfish,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Scorpaena calcarata,Smoothhead scorpionfish,Gulf of Mexico,Gulf of Mexico,Perciformes/Scorpaenoidei (Scorpionfishes),,
Scyllarides nodifer,Ridged slipper lobster,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Scyllarus chacei,Chace slipper lobster,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Sebastes alutus,Pacific ocean perch,Alaska,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes alutus,Pacific ocean perch,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastes alutus,Pacific ocean perch,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes aurora,Aurora rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes babcocki,Redbanded rockfish,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastes babcocki,Redbanded rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes borealis,Shortraker rockfish,Alaska,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes borealis,Shortraker rockfish,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastes brevispinis,Silvergray rockfish,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastes chlorostictus,Greenspotted rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes crameri,Darkblotched rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes diploproa,Splitnose rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes elongatus,Greenstriped rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes entomelas,Widow rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes fasciatus,Acadian redfish,US East Coast,Northeast,Perciformes/Scorpaenoidei (Scorpionfishes),NEFMC,Northeast Multispecies
Sebastes flavidus,Yellowtail rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes goodei,Chilipepper rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes helvomaculatus,Rosethorn rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes jordani,Shortbelly rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Alaska,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes paucispinis,Bocaccio,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes pinniger,Canary rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes polyspinis,Northern rockfish,Alaska,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes polyspinis,Northern rockfish,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastes proriger,Redstripe rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes saxicola,Stripetail rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes semicinctus,Halfbanded rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastes variabilis and S. ciliatus,Dusky and dark rockfish,Alaska,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes variabilis and S. ciliatus,Dusky and dark rockfish,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastes zacentrus,Sharpchin rockfish,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastes zacentrus,Sharpchin rockfish,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastolobus alascanus,Shortspine thornyhead,Alaska,Aleutian Islands,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastolobus alascanus,Shortspine thornyhead,Alaska,Gulf of Alaska,Perciformes/Scorpaenoidei (Scorpionfishes),NPFMC,Groundfish of the Gulf of Alaska
Sebastolobus alascanus,Shortspine thornyhead,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Sebastolobus altivelis,Longspine thornyhead,US West Coast,West Coast,Perciformes/Scorpaenoidei (Scorpionfishes),PFMC,Pacific Coast Groundfish
Selene setapinnis,Atlantic moonfish,Gulf of Mexico,Gulf of Mexico,Carangiformes (Jacks),,
Selene setapinnis,Atlantic moonfish,US East Coast,Southeast,Carangiformes (Jacks),,
Selene vomer,Lookdown,US East Coast,Southeast,Carangiformes (Jacks),,
Serranus atrobranchus,Blackear bass,Gulf of Mexico,Gulf of Mexico,Perciformes/Serranoidei (Groupers),,
Serranus notospilus,Saddle bass,Gulf of Mexico,Gulf of Mexico,Perciformes/Serranoidei (Groupers),,
Serranus phoebe,Tattler,Gulf of Mexico,Gulf of Mexico,Perciformes/Serranoidei (Groupers),,
Serripes notabilis,Oblique smoothcockle,Alaska,Northern Bering Sea,"Bivalvia (clams, muscles, oyster, arks, etc)",,
Sicyonia brevirostris,Brown rock shrimp,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),GMFMC,Shrimp Fishery of the Gulf of Mexico
Sicyonia dorsalis,Lesser rock shrimp,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),GMFMC,Shrimp Fishery of the Gulf of Mexico
Solenocera atlantidis,Dwarf humpback shrimp,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Solenocera vioscai,Humpback shrimp,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Sphoeroides dorsalis,Marbled puffer,Gulf of Mexico,Gulf of Mexico,Tetraodontiformes (puffers and filefishes),,
Sphoeroides maculatus,Northern puffer,US East Coast,Southeast,Tetraodontiformes (puffers and filefishes),,
Sphoeroides parvus,Least puffer,Gulf of Mexico,Gulf of Mexico,Tetraodontiformes (puffers and filefishes),,
Sphoeroides spengleri,Bandtail puffer,Gulf of Mexico,Gulf of Mexico,Tetraodontiformes (puffers and filefishes),,
Sphyraena guachancho,Guachanche barracuda,US East Coast,Southeast,Carangaria (barracuda),,
Sphyrna tiburo,Bonnethead,US East Coast,Southeast,Elasmobranchi:Selachi (sharks),Atlantic HMS,Consolidated Atlantic Highly Migratory Species
Squalus acanthias,Spiny dogfish,US East Coast,Northeast,Elasmobranchi:Selachi (sharks),ASMFC,Interstate Fishery Management Plan 
Squalus acanthias,Spiny dogfish,US East Coast,Northeast,Elasmobranchi:Selachi (sharks),MAFMC,Spiny Dogfish
Squalus acanthias,Spiny dogfish,US East Coast,Northeast,Elasmobranchi:Selachi (sharks),NEFMC,Spiny Dogfish
Squalus suckleyi,Pacific spiny dogfish,Alaska,Gulf of Alaska,Elasmobranchi:Selachi (sharks),NPFMC,Groundfish of the Gulf of Alaska
Squalus suckleyi,Pacific spiny dogfish,US West Coast,West Coast,Elasmobranchi:Selachi (sharks),PFMC,Pacific Coast Groundfish
Squilla chydaea,Offshore mantis shrimp,Gulf of Mexico,Gulf of Mexico,Stomatopoda (mantis shrimp),GMFMC,Shrimp Fishery of the Gulf of Mexico
Squilla empusa,Mantis shrimp,Gulf of Mexico,Gulf of Mexico,Stomatopoda (mantis shrimp),GMFMC,Shrimp Fishery of the Gulf of Mexico
Squilla empusa,Mantis shrimp,US East Coast,Southeast,Stomatopoda (mantis shrimp),SAFMC,Shrimp Fishery of the South Atlantic Region
Stegophiura ponderosa,,Alaska,Gulf of Alaska,Ophiuroidea (brittle stars),,
Stellifer lanceolatus,Star drum,US East Coast,Southeast,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Stenorhynchus seticornis,Yellowline arrow crab,Gulf of Mexico,Gulf of Mexico,Decapoda (Crabs/Lobster/Shrimp),,
Stenotomus caprinus,Longspine porgy,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Stenotomus chrysops,Scup,US East Coast,Northeast,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",ASMFC,"Summer Flounder, Scup and Black Sea Bass"
Stenotomus chrysops,Scup,US East Coast,Northeast,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",MAFMC,"Summer Flounder, Scup and Black Sea Bass"
Stephanolepis hispida,Planehead filefish,Gulf of Mexico,Gulf of Mexico,Tetraodontiformes (puffers and filefishes),,
Stephanolepis hispida,Planehead filefish,US East Coast,Southeast,Tetraodontiformes (puffers and filefishes),,
Strongylocentrotus droebachiensis,Green sea urchin,Alaska,Eastern Bering Sea,"Echinoidea (sea urchins, sand dollars) ",,
Strongylocentrotus droebachiensis,Green sea urchin,Alaska,Northern Bering Sea,"Echinoidea (sea urchins, sand dollars) ",,
Strongylocentrotus fragilis,Fragile sea urchin,Alaska,Gulf of Alaska,"Echinoidea (sea urchins, sand dollars) ",,
Styela rustica,Sea potato,Alaska,Eastern Bering Sea,"Tunicata (sea squirts, tunicates, salps) ",,
Styela rustica,Sea potato,Alaska,Northern Bering Sea,"Tunicata (sea squirts, tunicates, salps) ",,
Stylasterias forreri,Velcro star,US West Coast,West Coast,Asteroidea (starfishes) ,,
Stylocidaris affinis,Pencil urchin,Gulf of Mexico,Gulf of Mexico,"Echinoidea (sea urchins, sand dollars) ",,
Syacium gunteri,Shoal flounder,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Syacium papillosum,Dusky flounder,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Symphurus diomedeanus,Spottedfin tonguefish,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Symphurus plagiusa,Blackcheek tonguefish,US East Coast,Southeast,Pleuronectiformes (Flatfishes) ,,
Synodus foetens,Inshore lizardfish,Gulf of Mexico,Gulf of Mexico,"Aulopiformes (Grinners, lizardfish)",,
Synodus foetens,Inshore lizardfish,US East Coast,Southeast,"Aulopiformes (Grinners, lizardfish)",,
Synodus intermedius,Sand diver,Gulf of Mexico,Gulf of Mexico,"Aulopiformes (Grinners, lizardfish)",,
Synodus poeyi,Offshore lizardfish,Gulf of Mexico,Gulf of Mexico,"Aulopiformes (Grinners, lizardfish)",,
Talismania bifurcata,Threadfin slickhead,US West Coast,West Coast,Alepocephaliformes (Slickheads and tubeshoulders.),,
Tedania (Tedania) kagalaskai,,Alaska,Aleutian Islands,Porifera (sponges),,
Telmessus cheiragonus,Helmet crab,Alaska,Eastern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
Telmessus cheiragonus,Helmet crab,Alaska,Northern Bering Sea,Decapoda (Crabs/Lobster/Shrimp),,
Thaleichthys pacificus,Eulachon,Alaska,Eastern Bering Sea,"Osmeriformes (caplin, freshwater smelt)",NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Thaleichthys pacificus,Eulachon,Alaska,Gulf of Alaska,"Osmeriformes (caplin, freshwater smelt)",,
Thaleichthys pacificus,Eulachon,US West Coast,West Coast,"Osmeriformes (caplin, freshwater smelt)",,
Thrissacanthias penicillatus,,US West Coast,West Coast,Asteroidea (starfishes) ,,
Trachinocephalus myops,Snakefish,Gulf of Mexico,Gulf of Mexico,"Aulopiformes (Grinners, lizardfish)",,
Trachinotus carolinus,Florida pompano,US East Coast,Southeast,Carangiformes (Jacks),,
Trachurus lathami,Rough scad,Gulf of Mexico,Gulf of Mexico,Carangiformes (Jacks),,
Trichiurus lepturus,Atlantic cutlassfish,Gulf of Mexico,Gulf of Mexico,Scombriformes (Mackerels),,
Trichiurus lepturus,Atlantic cutlassfish,US East Coast,Southeast,Scombriformes (Mackerels),,
Trichopsetta ventralis,Sash flounder,Gulf of Mexico,Gulf of Mexico,Pleuronectiformes (Flatfishes) ,,
Triglops forficatus,Scissortail sculpin,Alaska,Aleutian Islands,Perciformes/Cottoidei (sculpins),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Triglops pingelii,Ribbed sculpin,Alaska,Northern Bering Sea,Perciformes/Cottoidei (sculpins),,
Triglops scepticus,Spectacled sculpin,Alaska,Aleutian Islands,Perciformes/Cottoidei (sculpins),NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Trinectes maculatus,Hogchoker,US East Coast,Southeast,Pleuronectiformes (Flatfishes) ,,
Tritonia tetraquetra,Large orange peel nudibranch,US West Coast,West Coast,Gastropoda (sea snails and slugs),,
Upeneus parvus,Dwarf goatfish,Gulf of Mexico,Gulf of Mexico,Mulliformes (Goatfishes),,
Urophycis chuss,Red hake,US East Coast,Northeast,"Gadiformes (Cods, genadiers, pollock) ",NEFMC,Northeast Multispecies
Urophycis floridana,Southern hake,Gulf of Mexico,Gulf of Mexico,"Gadiformes (Cods, genadiers, pollock) ",,
Urophycis regia,Spotted hake,US East Coast,Northeast,"Gadiformes (Cods, genadiers, pollock) ",,
Urophycis regia,Spotted hake,US East Coast,Southeast,"Gadiformes (Cods, genadiers, pollock) ",,
Urophycis tenuis,White hake,US East Coast,Northeast,"Gadiformes (Cods, genadiers, pollock) ",NEFMC,Northeast Multispecies
Xiphopenaeus kroyeri,Atlantic seabob,US East Coast,Southeast,Decapoda (Crabs/Lobster/Shrimp),,
Xyrichtys novacula,Pearly razorfish,Gulf of Mexico,Gulf of Mexico,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",,
Zalembius rosaceus,Pink seaperch,US West Coast,West Coast,"Ovalentaria (damselfish, sufperches)",,
Zaniolepis latipinnis,Longspine combfish,US West Coast,West Coast,Perciformes/Cottoidei (sculpins),PFMC,Pacific Coast Groundfish
Zaprora silenus,Prowfish,Alaska,Aleutian Islands,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),,
Zoarces americanus,Ocean pout,US East Coast,Northeast,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),NEFMC,Northeast Multispecies
