spp,common,Taxonomic.Grouping,FilterRegion,FilterSubRegion,Management Body,Management Plan
Acantholumpenus mackayi,Pighead prickleback,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Northern Bering Sea,,
Acanthostracion quadricornis,Scrawled cowfish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,
Achelous gibbesii,Iridescent swimming crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Achelous gibbesii,Iridescent swimming crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Achelous spinicarpus,Longspine swimming crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Achelous spinimanus,Blotched swimming crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Achelous spinimanus,Blotched swimming crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Actinauge verrillii,Reticulate anemone,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Gulf of Alaska,,
Actinauge verrillii,Reticulate anemone,"Cnidaria (jellyfish, corals, anenomes) ",US West Coast,West Coast,,
Actinostola faeculenta,Hobnail vase anemone,"Cnidaria (jellyfish, corals, anenomes) ",US West Coast,West Coast,,
Albatrossia pectoralis,Giant grenadier,"Gadiformes (Cods, genadiers, pollock) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Alepocephalus tenebrosus,California slickhead,Alepocephaliformes (Slickheads and tubeshoulders.),US West Coast,West Coast,,
Alosa aestivalis,Blueback herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Alosa pseudoharengus,Alewife,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Alosa sapidissima,American shad,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Alosa sapidissima,American shad,"Clupeiformes (Herrings, anchovy, shad)",US West Coast,West Coast,,
Aluterus schoepfii,Orange filefish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,
Amblyraja radiata,Thorny skate,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Northeast,NEFMC,Northeast Skate Complex
Anarhichas lupus,Atlantic wolffish,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US East Coast,Northeast,NEFMC,Northeast Multispecies
Anasimus latus,Stilt spider crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Anchoa hepsetus,Striped anchovy,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,,
Anchoa spp.,Anchovies,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast,,
Ancylopsetta quadrocellata,Ocellated flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Ancylopsetta quadrocellata,Ocellated flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Anoplopoma fimbria,Sablefish,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Anoplopoma fimbria,Sablefish,Perciformes/Cottoidei (sculpins),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Anoplopoma fimbria,Sablefish,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Anthoptilum grandiflorum,Feather boa sea pen,"Cnidaria (jellyfish, corals, anenomes) ",US West Coast,West Coast,,
Antimora microlepis,Finescale mora,"Gadiformes (Cods, genadiers, pollock) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Aphareus rutilans,Lehi,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Hawaii,Hawaii,WPFMC,Hawaii Archipelago Ecosystem
Aphrocallistes vastus,Cloud sponge,Porifera (sponges),Alaska,Aleutian Islands,,
Aphrocallistes vastus,Cloud sponge,Porifera (sponges),Alaska,Gulf of Alaska,,
Apostichopus californicus,Giant california sea cucumber,Holothuroidea (sea cucumbers),US West Coast,West Coast,,
Apostichopus leukothele,White-knobbed sea cucumber,Holothuroidea (sea cucumbers),US West Coast,West Coast,,
Apristurus brunneus,Brown catshark,Elasmobranchi:Selachi (sharks),US West Coast,West Coast,,
Arctoraja parmifera,Alaska skate,"Elasmobranchi:Batoidea (skates, rays) ",Alaska,Northern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Arenaeus cribrarius,Speckled swimming crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Aspidophoroides olrikii,Arctic alligatorfish,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,
Asterias amurensis,North pacific seastar,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,
Asterias amurensis,North pacific seastar,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,
Atheresthes stomias,Arrowtooth flounder,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Atheresthes stomias,Arrowtooth flounder,Pleuronectiformes (Flatfishes) ,Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Pleuronectiformes (Flatfishes) ,Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Axinella blanca,,Porifera (sponges),Alaska,Aleutian Islands,,
Bairdiella chrysoura,Silver perch,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,,
Balistes capriscus,Gray triggerfish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico
Bathybembix bairdii,,Gastropoda (sea snails and slugs),US West Coast,West Coast,,
Bathymaster signatus,Searcher,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Aleutian Islands,,
Bathymaster signatus,Searcher,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Eastern Bering Sea,,
Bathymaster signatus,Searcher,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Gulf of Alaska,,
Bathyraja spp.,Skate complex,"Elasmobranchi:Batoidea (skates, rays) ",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Bathyraja spp.,Skate complex,"Elasmobranchi:Batoidea (skates, rays) ",Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Bathyraja spp.,Skate complex,"Elasmobranchi:Batoidea (skates, rays) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Bellator militaris,Horned searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,
Beringraja binoculata,Big skate,"Elasmobranchi:Batoidea (skates, rays) ",Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Beringraja binoculata,Big skate,"Elasmobranchi:Batoidea (skates, rays) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Beringraja inornata,California skate,"Elasmobranchi:Batoidea (skates, rays) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Beringraja rhina,Longnose skate,"Elasmobranchi:Batoidea (skates, rays) ",Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Beringraja rhina,Longnose skate,"Elasmobranchi:Batoidea (skates, rays) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Berryteuthis magister,Magister armhook squid,"Cephalopoda (squid, octopus)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Berryteuthis magister,Magister armhook squid,"Cephalopoda (squid, octopus)",Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Boltenia ovifera,Stalked sea squirt,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Eastern Bering Sea,,
Boltenia ovifera,Stalked sea squirt,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Northern Bering Sea,,
Boreogadus saida,Arctic cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Northern Bering Sea,,
Bothrocara brunneum,Twoline eelpout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US West Coast,West Coast,,
Bothus robinsi,Twospot flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Brevoortia tyrannus,Atlantic menhaden,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Southeast,ASMFC,Interstate Fishery Management Plan 
Brisaster latifrons,Northern heart urchin,"Echinoidea (sea urchins, sand dollars) ",Alaska,Gulf of Alaska,,
Brisaster latifrons,Northern heart urchin,"Echinoidea (sea urchins, sand dollars) ",US West Coast,West Coast,,
Buccinum angulosum,Angular whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Buccinum angulosum,Angular whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,
Buccinum polare,Polar whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Buccinum polare,Polar whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,
Buccinum scalariforme,Ladder whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Buccinum scalariforme,Ladder whelk,Gastropoda (sea snails and slugs),Alaska,Northern Bering Sea,,
Calamus proridens,Littlehead porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Calappa sulcata,Yellow box crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Callinectes ornatus,Shelling crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Callinectes sapidus,Blue crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan 
Callinectes sapidus,Blue crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Callinectes similis,Lesser blue crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Callinectes similis,Lesser blue crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Callogorgia compressa,,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Aleutian Islands,,
Cancer borealis,Jonah crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Cancer irroratus,Atlantic rock crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast,,
Caranx crysos,Blue runner,Carangiformes (Jacks),US East Coast,Southeast,,
Careproctus melanurus,Blacktail snailfish,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,,
Centropristis ocyurus,Bank sea bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Centropristis philadelphica,Rock sea bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Centropristis philadelphica,Rock sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Southeast,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Centropristis striata,Black sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Northeast,ASMFC,"Summer Flounder, Scup and Black Sea Bass"
Centropristis striata,Black sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Northeast,MAFMC,"Summer Flounder, Scup and Black Sea Bass"
Centropristis striata,Black sea bass,Perciformes/Serranoidei (Groupers),US East Coast,Southeast,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Chaceon quinquedens,Red deepsea crab,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Northeast,NEFMC,Deep-sea red crab
Chaetodipterus faber,Atlantic spadefish,Acanthuriformes (Surgeonfishes),US East Coast,Southeast,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Chaetodon ocellatus,Spotfin butterflyfish,Acanthuriformes (Surgeonfishes),Gulf of Mexico,Gulf of Mexico,,
Chauliodus macouni,Pacific viperfish,Stomiiformes (Lightfishes and dragonfishes),US West Coast,West Coast,,
Cheiraster (Luidiaster) dawsoni,,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,
Chilomycterus schoepfii,Striped burrfish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,
Chilomycterus schoepfii,Striped burrfish,Tetraodontiformes (puffers and filefishes),US East Coast,Southeast,,
Chionoecetes bairdi,Tanner crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Chionoecetes bairdi,Tanner crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Chionoecetes bairdi,Tanner crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Chionoecetes opilio,Snow crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs
Chionoecetes opilio,Snow crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Chionoecetes tanneri,Grooved tanner crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Chloroscombrus chrysurus,Atlantic bumper,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,,
Chloroscombrus chrysurus,Atlantic bumper,Carangiformes (Jacks),US East Coast,Southeast,,
Chorilia longipes,Longhorn decorator crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Chrysaora melanaster,,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Northern Bering Sea,,
Citharichthys arctifrons,Gulf stream flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,,
Citharichthys macrops,Spotted whiff,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Citharichthys macrops,Spotted whiff,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Citharichthys sordidus,Pacific sanddab,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Citharichthys spilopterus,Bay whiff,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Citharichthys spilopterus,Bay whiff,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Clinopegma magnum,Helmet whelk,Gastropoda (sea snails and slugs),Alaska,Eastern Bering Sea,,
Clupea harengus,Atlantic herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Clupea harengus,Atlantic herring,"Clupeiformes (Herrings, anchovy, shad)",US East Coast,Northeast,NEFMC,Atlantic Herring
Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",Alaska,Northern Bering Sea,,
Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Clupea pallasii,Pacific herring,"Clupeiformes (Herrings, anchovy, shad)",US West Coast,West Coast,,
Coryphaenoides acrolepis,Pacific grenadier,"Gadiformes (Cods, genadiers, pollock) ",US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Crossaster borealis,Grooved sun star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,
Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,
Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Northern Bering Sea,,
Crossaster papposus,Common sunstar,Asteroidea (starfishes) ,Alaska,Gulf of Alaska,,
Ctenodiscus crispatus,Mud star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,
Ctenodiscus crispatus,Mud star,Asteroidea (starfishes) ,Alaska,Gulf of Alaska,,
Cucumaria fallax,,Holothuroidea (sea cucumbers),Alaska,Aleutian Islands,,
Cyanea capillata,Lion's mane,"Cnidaria (jellyfish, corals, anenomes) ",Alaska,Gulf of Alaska,,
Cyclopsetta chittendeni,Mexican flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Cyclopsetta fimbriata,Spotfin flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Cynoscion arenarius,Sand weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan 
Cynoscion nothus,Silver seatrout,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan 
Cynoscion nothus,Silver seatrout,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,,
Cynoscion regalis,Weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,ASMFC,Interstate Fishery Management Plan 
Cynoscion regalis,Weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,SAFMC,Snapper-Grouper Fishery of the South Atlantic Region
Dasycottus setiger,Spinyhead sculpin,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Dasycottus setiger,Spinyhead sculpin,Perciformes/Cottoidei (sculpins),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Decapterus punctatus,Round scad,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,,
Diplectrum bivittatum,Dwarf sand perch,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Diplectrum formosum,Sand perch,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Diplopteraster multipes,Pincushion star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,
Dipturus laevis,Barndoor skate,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Northeast,NEFMC,Northeast Skate Complex
Doryteuthis opalescens,California market squid,"Cephalopoda (squid, octopus)",US West Coast,West Coast,PFMC,Coastal Pelagic Species
Doryteuthis pealeii,Longfin inshore squid,"Cephalopoda (squid, octopus)",US East Coast,Northeast,MAFMC,"Mackerel, Squid and Butterfish"
Doryteuthis sp,Inshore Squid sp.,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,GMFMC,
Doryteuthis sp,Inshore Squid sp.,"Cephalopoda (squid, octopus)",US East Coast,Southeast,SAFMC,
Echidnocerus foraminatus,Brown box crab,Decapoda (Crabs/Lobster/Shrimp),US West Coast,West Coast,,
Elassochirus cavimanus,Purple hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Aleutian Islands,,
Elassochirus tenuimanus,Widehand hermit,Decapoda (Crabs/Lobster/Shrimp),Alaska,Gulf of Alaska,,
Eleginus gracilis,Saffron cod,"Gadiformes (Cods, genadiers, pollock) ",Alaska,Northern Bering Sea,,
Enophrys diceraus,Antlered sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,
Enteroctopus dofleini,North pacific giant octopus,"Cephalopoda (squid, octopus)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Eopsetta jordani,Petrale sole,Pleuronectiformes (Flatfishes) ,US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Epinephelus morio,Red grouper,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico
Eques lanceolatus,Jackknife-fish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Erimacrus isenbeckii,Hair crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,
Erimacrus isenbeckii,Hair crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Etelis carbunculus,Ehu,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Hawaii,Hawaii,WPFMC,Hawaii Archipelago Ecosystem
