spp,common,Taxonomic.Grouping,FilterRegion,FilterSubRegion,Management Body,Management Plan
Pseudopleuronectes americanus,Winter flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,ASMFC,Northeast Multispecies
Pseudopleuronectes americanus,Winter flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,NEFMC,Northeast Multispecies
Pseudostichopus mollis,Sandy sea cucumber,Holothuroidea (sea cucumbers),US West Coast,West Coast,,
Pteraster militaris,Wrinkled sea star,Asteroidea (starfishes) ,Alaska,Aleutian Islands,,
Pteraster obscurus,Obscure cushion star,Asteroidea (starfishes) ,Alaska,Eastern Bering Sea,,
Pycnopodia helianthoides,Sunflower sea star,Asteroidea (starfishes) ,Alaska,Gulf of Alaska,,
Raninoides louisianensis,Gulf frog crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Rathbunaster californicus,California sun star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Reinhardtius hippoglossoides,Greenland halibut,Pleuronectiformes (Flatfishes) ,Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Renilla muelleri,Mueller's sea pansy,"Cnidaria (jellyfish, corals, anenomes) ",Gulf of Mexico,Gulf of Mexico,,
Rhinoptera bonasus,Cownose ray,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Southeast,,
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Elasmobranchi:Selachi (sharks),Gulf of Mexico,Gulf of Mexico,,
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Elasmobranchi:Selachi (sharks),US East Coast,Southeast,Atlantic HMS,Consolidated Atlantic Highly Migratory Species
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Elasmobranchi:Selachi (sharks),US East Coast,Northeast,Atlantic HMS,Consolidated Atlantic Highly Migratory Species
Rhomboplites aurorubens,Vermilion snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico
Rossia pacifica,Eastern pacific bobtail,"Cephalopoda (squid, octopus)",Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Rossia pacifica,Eastern pacific bobtail,"Cephalopoda (squid, octopus)",US West Coast,West Coast,,
Rostroraja eglanteria,Clearnose skate,"Elasmobranchi:Batoidea (skates, rays) ",Gulf of Mexico,Gulf of Mexico,,
Rostroraja eglanteria,Clearnose skate,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Southeast,,
Rostroraja eglanteria,Clearnose skate,"Elasmobranchi:Batoidea (skates, rays) ",US East Coast,Northeast,NEFMC,Northeast Skate Complex
Rostroraja texana,Roundel skate,"Elasmobranchi:Batoidea (skates, rays) ",Gulf of Mexico,Gulf of Mexico,,
Sagenaster evermanni,Evermann's star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Sardinella aurita,Spanish sardine,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,,
Sarritor frenatus,Sawback poacher,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,,
Sarritor frenatus,Sawback poacher,Perciformes/Cottoidei (sculpins),Alaska,Eastern Bering Sea,,
Saurida brasiliensis,Largescale lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,,
Saurida normani,Shortjaw lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,,
Sclerocrangon boreas,Sculptured shrimp,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Scomber scombrus,Atlantic mackerel,Scombriformes (Mackerels),US East Coast,Northeast,MAFMC,"Mackerel, Squid and Butterfish"
Scomberomorus cavalla,King mackerel,Scombriformes (Mackerels),US East Coast,Southeast,GMFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scomberomorus cavalla,King mackerel,Scombriformes (Mackerels),US East Coast,Southeast,SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scomberomorus maculatus,Spanish mackerel,Scombriformes (Mackerels),US East Coast,Southeast,ASMFC,Interstate Fishery Management Plan 
Scomberomorus maculatus,Spanish mackerel,Scombriformes (Mackerels),US East Coast,Southeast,GMFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scomberomorus maculatus,Spanish mackerel,Scombriformes (Mackerels),US East Coast,Southeast,SAFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic
Scophthalmus aquosus,Windowpane flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Northeast,NEFMC,Northeast Multispecies
Scophthalmus aquosus,Windowpane flounder,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Scorpaena agassizii,Longfin scorpionfish,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,
Scorpaena brasiliensis,Barbfish,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,
Scorpaena calcarata,Smoothhead scorpionfish,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,
Scyllarides nodifer,Ridged slipper lobster,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Scyllarus chacei,Chace slipper lobster,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Sebastes alutus,Pacific ocean perch,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes alutus,Pacific ocean perch,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Sebastes alutus,Pacific ocean perch,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes aurora,Aurora rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes babcocki,Redbanded rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Sebastes babcocki,Redbanded rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes borealis,Shortraker rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes borealis,Shortraker rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Sebastes brevispinis,Silvergray rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Sebastes chlorostictus,Greenspotted rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes crameri,Darkblotched rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes diploproa,Splitnose rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes elongatus,Greenstriped rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes entomelas,Widow rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes fasciatus,Acadian redfish,Perciformes/Scorpaenoidei (Scorpionfishes),US East Coast,Northeast,NEFMC,Northeast Multispecies
Sebastes flavidus,Yellowtail rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes goodei,Chilipepper rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes helvomaculatus,Rosethorn rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes jordani,Shortbelly rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Sebastes melanostictus and S. aleutianus,Blackspotted and rougheye rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes paucispinis,Bocaccio,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes pinniger,Canary rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes polyspinis,Northern rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes polyspinis,Northern rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Sebastes proriger,Redstripe rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes saxicola,Stripetail rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes semicinctus,Halfbanded rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastes variabilis and S. ciliatus,Dusky and dark rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastes variabilis and S. ciliatus,Dusky and dark rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Sebastes zacentrus,Sharpchin rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Sebastes zacentrus,Sharpchin rockfish,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastolobus alascanus,Shortspine thornyhead,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Sebastolobus alascanus,Shortspine thornyhead,Perciformes/Scorpaenoidei (Scorpionfishes),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Sebastolobus alascanus,Shortspine thornyhead,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Sebastolobus altivelis,Longspine thornyhead,Perciformes/Scorpaenoidei (Scorpionfishes),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Selene setapinnis,Atlantic moonfish,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,,
Selene setapinnis,Atlantic moonfish,Carangiformes (Jacks),US East Coast,Southeast,,
Selene vomer,Lookdown,Carangiformes (Jacks),US East Coast,Southeast,,
Serranus atrobranchus,Blackear bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Serranus notospilus,Saddle bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Serranus phoebe,Tattler,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,
Serripes notabilis,Oblique smoothcockle,"Bivalvia (clams, muscles, oyster, arks, etc)",Alaska,Northern Bering Sea,,
Sicyonia brevirostris,Brown rock shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico
Sicyonia dorsalis,Lesser rock shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico
Solenocera atlantidis,Dwarf humpback shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Solenocera vioscai,Humpback shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Sphoeroides dorsalis,Marbled puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,
Sphoeroides maculatus,Northern puffer,Tetraodontiformes (puffers and filefishes),US East Coast,Southeast,,
Sphoeroides parvus,Least puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,
Sphoeroides spengleri,Bandtail puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,
Sphyraena guachancho,Guachanche barracuda,Carangaria (barracuda),US East Coast,Southeast,,
Sphyrna tiburo,Bonnethead,Elasmobranchi:Selachi (sharks),US East Coast,Southeast,Atlantic HMS,Consolidated Atlantic Highly Migratory Species
Squalus acanthias,Spiny dogfish,Elasmobranchi:Selachi (sharks),US East Coast,Northeast,ASMFC,Interstate Fishery Management Plan 
Squalus acanthias,Spiny dogfish,Elasmobranchi:Selachi (sharks),US East Coast,Northeast,MAFMC,Spiny Dogfish
Squalus acanthias,Spiny dogfish,Elasmobranchi:Selachi (sharks),US East Coast,Northeast,NEFMC,Spiny Dogfish
Squalus suckleyi,Pacific spiny dogfish,Elasmobranchi:Selachi (sharks),Alaska,Gulf of Alaska,NPFMC,Groundfish of the Gulf of Alaska
Squalus suckleyi,Pacific spiny dogfish,Elasmobranchi:Selachi (sharks),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Squilla chydaea,Offshore mantis shrimp,Stomatopoda (mantis shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico
Squilla empusa,Mantis shrimp,Stomatopoda (mantis shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico
Squilla empusa,Mantis shrimp,Stomatopoda (mantis shrimp),US East Coast,Southeast,SAFMC,Shrimp Fishery of the South Atlantic Region
Stegophiura ponderosa,,Ophiuroidea (brittle stars),Alaska,Gulf of Alaska,,
Stellifer lanceolatus,Star drum,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Southeast,,
Stenorhynchus seticornis,Yellowline arrow crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,
Stenotomus caprinus,Longspine porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Stenotomus chrysops,Scup,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Northeast,ASMFC,"Summer Flounder, Scup and Black Sea Bass"
Stenotomus chrysops,Scup,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",US East Coast,Northeast,MAFMC,"Summer Flounder, Scup and Black Sea Bass"
Stephanolepis hispida,Planehead filefish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,
Stephanolepis hispida,Planehead filefish,Tetraodontiformes (puffers and filefishes),US East Coast,Southeast,,
Strongylocentrotus droebachiensis,Green sea urchin,"Echinoidea (sea urchins, sand dollars) ",Alaska,Eastern Bering Sea,,
Strongylocentrotus droebachiensis,Green sea urchin,"Echinoidea (sea urchins, sand dollars) ",Alaska,Northern Bering Sea,,
Strongylocentrotus fragilis,Fragile sea urchin,"Echinoidea (sea urchins, sand dollars) ",Alaska,Gulf of Alaska,,
Styela rustica,Sea potato,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Eastern Bering Sea,,
Styela rustica,Sea potato,"Tunicata (sea squirts, tunicates, salps) ",Alaska,Northern Bering Sea,,
Stylasterias forreri,Velcro star,Asteroidea (starfishes) ,US West Coast,West Coast,,
Stylocidaris affinis,Pencil urchin,"Echinoidea (sea urchins, sand dollars) ",Gulf of Mexico,Gulf of Mexico,,
Syacium gunteri,Shoal flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Syacium papillosum,Dusky flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Symphurus diomedeanus,Spottedfin tonguefish,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Symphurus plagiusa,Blackcheek tonguefish,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Synodus foetens,Inshore lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,,
Synodus foetens,Inshore lizardfish,"Aulopiformes (Grinners, lizardfish)",US East Coast,Southeast,,
Synodus intermedius,Sand diver,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,,
Synodus poeyi,Offshore lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,,
Talismania bifurcata,Threadfin slickhead,Alepocephaliformes (Slickheads and tubeshoulders.),US West Coast,West Coast,,
Tedania (Tedania) kagalaskai,,Porifera (sponges),Alaska,Aleutian Islands,,
Telmessus cheiragonus,Helmet crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Eastern Bering Sea,,
Telmessus cheiragonus,Helmet crab,Decapoda (Crabs/Lobster/Shrimp),Alaska,Northern Bering Sea,,
Thaleichthys pacificus,Eulachon,"Osmeriformes (caplin, freshwater smelt)",Alaska,Eastern Bering Sea,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Thaleichthys pacificus,Eulachon,"Osmeriformes (caplin, freshwater smelt)",Alaska,Gulf of Alaska,,
Thaleichthys pacificus,Eulachon,"Osmeriformes (caplin, freshwater smelt)",US West Coast,West Coast,,
Thrissacanthias penicillatus,,Asteroidea (starfishes) ,US West Coast,West Coast,,
Trachinocephalus myops,Snakefish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,,
Trachinotus carolinus,Florida pompano,Carangiformes (Jacks),US East Coast,Southeast,,
Trachurus lathami,Rough scad,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,,
Trichiurus lepturus,Atlantic cutlassfish,Scombriformes (Mackerels),Gulf of Mexico,Gulf of Mexico,,
Trichiurus lepturus,Atlantic cutlassfish,Scombriformes (Mackerels),US East Coast,Southeast,,
Trichopsetta ventralis,Sash flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,
Triglops forficatus,Scissortail sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Triglops pingelii,Ribbed sculpin,Perciformes/Cottoidei (sculpins),Alaska,Northern Bering Sea,,
Triglops scepticus,Spectacled sculpin,Perciformes/Cottoidei (sculpins),Alaska,Aleutian Islands,NPFMC,Groundfish of the Bering Sea and Aleutian Islands Management Area
Trinectes maculatus,Hogchoker,Pleuronectiformes (Flatfishes) ,US East Coast,Southeast,,
Tritonia tetraquetra,Large orange peel nudibranch,Gastropoda (sea snails and slugs),US West Coast,West Coast,,
Upeneus parvus,Dwarf goatfish,Mulliformes (Goatfishes),Gulf of Mexico,Gulf of Mexico,,
Urophycis chuss,Red hake,"Gadiformes (Cods, genadiers, pollock) ",US East Coast,Northeast,NEFMC,Northeast Multispecies
Urophycis floridana,Southern hake,"Gadiformes (Cods, genadiers, pollock) ",Gulf of Mexico,Gulf of Mexico,,
Urophycis regia,Spotted hake,"Gadiformes (Cods, genadiers, pollock) ",US East Coast,Northeast,,
Urophycis regia,Spotted hake,"Gadiformes (Cods, genadiers, pollock) ",US East Coast,Southeast,,
Urophycis tenuis,White hake,"Gadiformes (Cods, genadiers, pollock) ",US East Coast,Northeast,NEFMC,Northeast Multispecies
Xiphopenaeus kroyeri,Atlantic seabob,Decapoda (Crabs/Lobster/Shrimp),US East Coast,Southeast,,
Xyrichtys novacula,Pearly razorfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,
Zalembius rosaceus,Pink seaperch,"Ovalentaria (damselfish, sufperches)",US West Coast,West Coast,,
Zaniolepis latipinnis,Longspine combfish,Perciformes/Cottoidei (sculpins),US West Coast,West Coast,PFMC,Pacific Coast Groundfish
Zaprora silenus,Prowfish,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),Alaska,Aleutian Islands,,
Zoarces americanus,Ocean pout,Perciformes/Zoarcoidei (Eelpouts and pricklebacks),US East Coast,Northeast,NEFMC,Northeast Multispecies
